Id,PostId,RecruitPostId,RecruitPostName,CountryName,LocationName,BGName,ProductName,CategoryName,Responsibility,LastUpdateTime,PostURL,SourceID,IsCollect,IsValid
0,1139436735353065472,51091,29303-大数据可视化工程师（深圳）,中国,深圳,CSIG,,技术,"与大数据专家密切合作，共同完成机器学习模型开发。
构建可复制的软件解决方案，用于商业理解，特征工程和监控模型性能。
与团队中的模型开发人员和客户沟通项目交付。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1123177371537510400,48689,22989-腾讯云块存储高级后台开发工程师,中国,深圳总部,CSIG,,技术,"负责腾讯云后台服务架构设计、开发工作；
能深入发掘和理解用户需求，开发、优化云产品并落地。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1123177371537510400,1,False,False
0,1123175552153292800,44261,18428-AI应用研发工程师,中国,深圳总部,CDG,,技术,负责金融领域图像处理、物体检测、生物识别等场景AI系统后端架构设计、系统开发、技术攻坚和性能优化，负责基础架构组件开发和优化。,2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1123175552153292800,1,False,False
0,1139426576669085696,51089,23671-内容平台高级策略分析师,中国,北京,PCG,企鹅号,战略与投资,"1. 负责企鹅号业务经营状况分析与内部管理优化, 提升整体管理效率 
2. 依据渠道与CP需求设计合理合作机制, 并且持续跟踪业务效率 
3. 关注海内外行业发展趋势, 参与行业与专题研究, 为管理层提供决策支持与管理支撑",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139425347792539648,51088,30359-增长策略高级产品经理,中国,深圳,PCG,,产品,"1、利用数据驱动，联合业务打造增长闭环实践；
2、抽象跨业务增长实践，沉淀增长通用方法论，推动其在多业务落地实施；

",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1139421999643234304,51087,17467-信息流营销策划经理（深圳）,中国,深圳,PCG,QQ看点,营销与公关,"负责腾讯信息流产品的营销活动策划与执行，能够通过多种传播手段，如广告片、H5、海报等传播内容等将平台内容进行外部传播，并对传播内容进行创意策划和跟进出品把控；
负责视频类独家内容的策划和把控，能够联合调动各方资源，为平台输出优质爆款内容。
",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1123176585613021184,47604,PCG19-腾讯视频TV端视觉设计师（深圳）,中国,深圳总部,PCG,,设计,"负责腾讯视频TV端界面视觉设计；
参与腾讯视频客厅产品（视频APP、智能电视盒子、智能语音等）的前期视觉用户研究、设计流行趋势分析和体验规划，主导设定整体视觉风格和VI设计； 
参与设计体验、流程的制定和规范；
参与团队专业建设，分享设计经验，推动提高团队的设计能力。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1123176585613021184,1,False,False
0,1139420748029366272,51086,17467-信息流品牌经理（深圳）,中国,深圳,PCG,QQ看点,营销与公关,"负责腾讯信息流产品的品牌推广，制定品牌侧策略及营销策略，基于不同的内容匹配最合适的推广打法及渠道攻占，基于内容的推广转化到品牌口碑及用户认知度；
负责以项目管理形式，推动与内容运营团队及市场部内部团队的沟通。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
0,1123175145205141504,36567,22850-腾讯视频VIP产品经理(深圳),中国,深圳总部,PCG,,产品,"负责腾讯视频超级影视VIP会员产品规划，包括基础体验/营销能力/精细化运营产品能力；
负责少儿付费项目产品规划，挖掘优质内容变现能力以及探索新付费方式；
精通前后端产品维护和迭代，不断优化业务逻辑、跟踪数据表现，对付费目标负责；
参与市场调研，改善体验、及时应变产品方案；",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=1123175145205141504,1,False,False
0,1139419926784643072,51084,23294-互娱手游电竞后台开发工程师(深圳),中国,深圳,IEG,,技术,"负责手游电竞后台系统开发工作；
负责手游电竞后台系统性能分析与调优工作；
负责手游电竞助威业务运营开发工作。",2019年06月14日,http://careers.tencent.com/jobdesc.html?postId=0,1,False,False
