cn,dd,gz,jy,name,url,xl
金财互联数据服务有限公司,广州,12-22万,3年以上,招聘产品开发工程师（java/python）,https://www.liepin.com/job/1917476043.shtml,本科及以上
广州非凡信息安全技术有限公司,广州,8-12万,经验不限,招聘python研发工程师[广州],https://www.liepin.com/job/1917899445.shtml,大专及以上
广州非凡信息安全技术有限公司,广州-天河区,4-6万,经验不限,招聘python研发工程师,https://www.liepin.com/job/1917861825.shtml,大专及以上
深圳市智灵时代科技有限公司,广州-天河区,16-30万,3年以上,招聘Python开发工程师（广州办公）,https://www.liepin.com/job/1920248471.shtml,本科及以上
深圳市智灵时代科技有限公司,广州-天河区,18-30万,3年以上,招聘Java开发工程师（熟悉python、广州办公）,https://www.liepin.com/job/1920471663.shtml,本科及以上
京信通信系统（中国）有限公司,广州-黄埔区,12-24万,2年以上,招聘软件工程师（Python）,https://www.liepin.com/job/1920755861.shtml,本科及以上
京信通信系统（中国）有限公司,广州,12-18万,1年以上,招聘软件工程师python,https://www.liepin.com/job/1920755863.shtml,本科及以上
要出发周边游（创新工场旗下）,广州-天河区,12-22万,1年以上,招聘python开发工程师,https://www.liepin.com/job/1916197249.shtml,本科及以上
One of the most famous banking organizations MNC,"广州,深圳,陕西",45-75万,5年以上,招聘Python+ Java,https://www.liepin.com/a/14402353.shtml,学历不限
国内某知名互联网企业,"北京,广州,深圳",23-46万,5年以上,招聘Python研发工程师,https://www.liepin.com/a/15322579.shtml,本科及以上
国内知名一线互联网公司,"广州,上海,北京",32-64万,4年以上,招聘资深开发工程师（Python）,https://www.liepin.com/a/14668125.shtml,学历不限
深圳市度点科技有限公司,深圳-宝安区,12-36万,2年以上,招聘python 运维工程师,https://www.liepin.com/job/1919240923.shtml,统招本科
深圳美西西餐饮管理有限公司,深圳,14-24万,3年以上,招聘python开发工程师,https://www.liepin.com/job/1919664293.shtml,统招本科
深圳市有限元科技有限公司,深圳,10-19万,1年以上,招聘python软件工程师,https://www.liepin.com/job/1920358517.shtml,本科及以上
深圳市有限元科技有限公司,深圳,10-19万,1年以上,招聘python软件开发工程师,https://www.liepin.com/job/1920358519.shtml,本科及以上
